,amp,attack,blue,bpm,cutoff,green,initial_offset,instrument,mix_echo,mix_reverb,mod_phase,mod_range,nature,number,order,pan,pitch,red,release,rootnote,rootoctave,total_offset
0,0.73,0.26,103,60,78,184,0.0,3,0.6,0.75,0.12,2,synth,2,7,-0.5,1,114,0.42,25,3,0.0
1,0.99,0.08,216,60,95,105,0.25,2,0.28,0.48,0.1,6,synth,1,3,0.05,4,143,0.99,28,3,0.0
2,0.78,0.49,101,15,99,202,0.625,2,0.44,0.71,0.39,7,synth,2,10,-0.09,0,254,0.07,24,3,0.25
3,0.68,0.47,217,15,76,219,0.0,0,0.04,0.93,0.14,11,synth,2,7,-0.19,7,137,0.99,31,4,0.875
