,amp,attack,blue,bpm,cutoff,green,initial_offset,instrument,mix_echo,mix_reverb,mod_phase,mod_range,nature,number,order,pan,pitch,red,release,rootnote,rootoctave,total_offset
0,0.87,0.13,100,60,87,182,0.375,3,0.23,0.4,0.44,11,bass,1,8,0.16,10,120,0.14,34,3,0.125
1,0.71,0.5,174,60,87,103,0.0,1,0.58,0.3,0.62,11,bass,3,3,-0.38,10,104,0.0,34,3,0.125
2,0.8,0.49,113,60,85,238,0.375,3,0.46,0.58,0.37,6,bass,2,5,0.29,11,187,0.82,35,5,0.21875
0,0.94,0.32,105,60,74,109,0.625,0,0.02,0.63,0.16,4,high_perc,2,11,-0.47,2,252,0.41,26,5,0.1875
0,0.85,0.07,240,15,84,179,0.0,1,0.4,0.44,0.2,2,low_perc,3,11,0.5,9,171,0.0,33,5,0.625
0,0.82,0.49,249,15,90,225,0.125,3,0.13,0.63,0.45,7,synth,3,4,0.18,5,137,0.08,29,5,0.25
